sammy@ucsc.edu	Sammy The Slug	27	bananas
bimmy@ucsc.edu	bimmy	4	vegan jerky
joe@example.com	Joe Mama	100	borgar
tony@stark.com	tony	9	donuts
nat@romanoff.com	natasha	8	sandwich
bruce@banner.com	bruce	150	broccoli
todd@example.com	Todd Todderson	12	tacos
happy@hap.com	happy	9	rice
bat@man.com	bat	6	leaf
billie@eyelash.com	billie	4	spinach
christian@bale.com	christian	1	nothing
jo@seph.com	jo	5	grape
meryl@streep.com	meryl streep	7	cheese sticks
bat@man.com	bat	6	leaf
james@frank.com	james	8	apple pie
go@rilla.com	go rilla	8	yum yum
nat@romanoff.com	natasha	8	sandwich
man@go.com	mango	95	mango
chimp@anzee.com	chimp anzee	5	banana
car@door.com	car door	250	gas
tanya@harding.com	tanya	9	skates
